id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
249020,49.0,Male,138879.0,Married,,High School,Employed,,Suburban,Comprehensive,3.0,13.0,509.0,1.0,2021-05-12 15:21:39.191219,Good,No,Monthly,Apartment,1053.0
29782,27.0,Male,46163.0,Married,1.0,Master's,Self-Employed,23.80348680506581,Suburban,Premium,,10.0,,5.0,2021-01-12 15:21:39.102694,Average,Yes,Weekly,House,2697.0
684648,62.0,Female,47816.0,Divorced,2.0,Master's,Employed,21.716759989763503,Urban,Basic,2.0,10.0,721.0,4.0,2020-03-24 15:21:39.134960,Average,Yes,Rarely,House,2087.0
227708,18.0,Female,618.0,Divorced,4.0,Master's,Employed,,Urban,Basic,,17.0,,6.0,2020-04-14 15:21:39.083497,Poor,No,Weekly,Apartment,632.0
1091554,26.0,Male,2667.0,Divorced,3.0,Bachelor's,,40.63866728657253,Urban,Basic,1.0,18.0,531.0,1.0,2022-01-11 15:21:39.082499,Average,Yes,Rarely,Apartment,119.0
162162,21.0,Female,44964.0,Single,2.0,High School,,14.844667129104533,Urban,Comprehensive,,10.0,,7.0,2023-04-05 15:21:39.276901,Average,Yes,Daily,Apartment,39.0
765485,43.0,Male,62666.0,Married,0.0,High School,Employed,14.715679329524225,Rural,Basic,,0.0,332.0,4.0,2024-07-19 15:21:39.226954,Average,Yes,Daily,Condo,829.0
1075668,23.0,Female,12383.0,Married,1.0,High School,Unemployed,20.790862515195656,Urban,Comprehensive,1.0,3.0,512.0,3.0,2023-03-22 15:21:39.285112,Average,No,Weekly,House,1243.0
375886,18.0,Male,64416.0,Single,3.0,High School,Unemployed,23.737768468412625,Rural,Premium,2.0,0.0,771.0,4.0,2021-03-01 15:21:39.172097,,Yes,Monthly,House,1430.0
338878,55.0,Male,38350.0,Married,0.0,High School,Self-Employed,14.791637965011263,Suburban,Basic,1.0,4.0,424.0,2.0,2021-01-02 15:21:39.129190,Good,No,Weekly,Condo,719.0
1014302,57.0,Female,1796.0,Divorced,2.0,High School,,11.943242981140283,Rural,Basic,0.0,8.0,619.0,9.0,2021-06-18 15:21:39.085129,,Yes,Rarely,House,586.0
349870,43.0,Male,9072.0,Single,2.0,PhD,Employed,33.328850844510285,Rural,Comprehensive,1.0,15.0,493.0,8.0,2020-10-30 15:21:39.211806,Poor,Yes,Weekly,House,789.0
1146083,25.0,Male,3815.0,Married,2.0,Master's,Self-Employed,21.12019399712128,Suburban,Premium,1.0,10.0,666.0,4.0,2024-01-07 15:21:39.192212,Average,Yes,Rarely,House,2228.0
1065780,34.0,Male,938.0,Divorced,3.0,Master's,Self-Employed,33.08719880096866,Urban,Basic,,13.0,632.0,6.0,2022-11-30 15:21:39.134960,Average,Yes,Rarely,House,2472.0
960691,49.0,Male,43148.0,Married,1.0,High School,Employed,13.125909219969026,Urban,Comprehensive,0.0,4.0,548.0,1.0,2021-03-24 15:21:39.266452,Average,No,Rarely,Apartment,455.0
1021548,56.0,Female,43866.0,Divorced,2.0,Bachelor's,Employed,15.082389282103826,Urban,Comprehensive,,11.0,704.0,3.0,2020-02-26 15:21:39.177724,Average,Yes,Rarely,House,675.0
1136887,58.0,Female,3634.0,Divorced,1.0,High School,,40.10485068226886,Rural,Basic,1.0,4.0,708.0,2.0,2024-04-12 15:21:39.188220,Average,Yes,Rarely,Condo,3308.0
1076937,55.0,Female,114834.0,Single,,Master's,Employed,11.327511359493752,Urban,Basic,0.0,3.0,406.0,1.0,2024-02-18 15:21:39.274993,Average,Yes,Monthly,Condo,928.0
995009,41.0,Female,39737.0,Single,1.0,Bachelor's,Self-Employed,18.91819594406308,Rural,Comprehensive,1.0,9.0,725.0,5.0,2024-03-22 15:21:39.191219,Poor,Yes,Monthly,House,2174.0
601851,39.0,Female,23593.0,Divorced,1.0,Bachelor's,Unemployed,36.183790516362905,Suburban,Basic,0.0,19.0,711.0,2.0,2021-07-17 15:21:39.282785,Good,No,Rarely,Apartment,2897.0
758616,36.0,Male,40658.0,Married,0.0,PhD,,26.355638799168435,Rural,Basic,1.0,13.0,405.0,1.0,2023-04-09 15:21:39.191219,Good,No,Weekly,House,1118.0
891858,27.0,Male,98657.0,Married,4.0,High School,Unemployed,13.282084854593007,Urban,Premium,,5.0,616.0,3.0,2021-08-28 15:21:39.216387,Good,Yes,Rarely,Condo,48.0
73215,19.0,Female,27861.0,Divorced,2.0,Master's,,15.848300770918296,Rural,Premium,0.0,5.0,778.0,4.0,2020-07-06 15:21:39.214388,Poor,Yes,Rarely,House,713.0
446177,30.0,Female,32736.0,Married,2.0,High School,Self-Employed,29.82368265228003,Rural,Basic,0.0,18.0,786.0,8.0,2021-01-17 15:21:39.218388,Poor,Yes,Weekly,House,345.0
1127087,56.0,Male,38729.0,Married,,Bachelor's,Unemployed,12.533735296998737,Urban,Comprehensive,0.0,14.0,527.0,9.0,2020-07-02 15:21:39.248098,Poor,Yes,Rarely,House,616.0
491551,25.0,Female,39740.0,Married,0.0,PhD,Employed,22.735847527890883,Rural,Comprehensive,2.0,15.0,677.0,5.0,2023-08-22 15:21:39.244069,,No,Daily,Apartment,567.0
931839,53.0,Female,3063.0,Divorced,4.0,Bachelor's,Self-Employed,9.619289926682775,Suburban,Premium,2.0,14.0,687.0,5.0,2022-03-03 15:21:39.180553,Average,No,Weekly,House,1131.0
672305,61.0,Male,75748.0,Married,3.0,Bachelor's,,28.948281022834045,Suburban,Comprehensive,3.0,10.0,701.0,1.0,2023-12-23 15:21:39.134960,,Yes,Daily,Condo,1153.0
537618,51.0,Male,66543.0,Divorced,3.0,Bachelor's,Self-Employed,21.12177786535709,Urban,Comprehensive,2.0,2.0,641.0,7.0,2020-10-28 15:21:39.166062,,Yes,Daily,Condo,1357.0
23366,47.0,Male,65888.0,Divorced,4.0,Master's,,30.62013720246207,Suburban,Comprehensive,,18.0,783.0,3.0,2019-11-27 15:21:39.204790,Average,Yes,Rarely,Condo,2180.0
834783,27.0,Female,17784.0,Married,0.0,PhD,Unemployed,,Urban,Basic,1.0,9.0,676.0,4.0,2021-08-19 15:21:39.222387,Average,Yes,Daily,Apartment,1403.0
803369,63.0,Female,65438.0,Single,3.0,PhD,Employed,41.0725377991196,Rural,Comprehensive,,0.0,340.0,4.0,2021-04-25 15:21:39.274993,Average,No,Monthly,House,3062.0
226514,53.0,Male,19516.0,Single,0.0,PhD,Unemployed,18.83738121146428,Suburban,Comprehensive,1.0,4.0,652.0,7.0,2022-10-07 15:21:39.155231,Poor,No,Rarely,House,1033.0
1051501,45.0,Female,1786.0,Married,3.0,High School,,37.917367715061054,Suburban,Basic,0.0,5.0,448.0,9.0,2021-04-25 15:21:39.170099,Good,Yes,Monthly,Apartment,282.0
104463,64.0,Male,35694.0,Divorced,3.0,PhD,Employed,36.81829459487159,Suburban,Basic,1.0,17.0,,6.0,2022-10-05 15:21:39.118178,Good,Yes,Daily,Apartment,216.0
585807,26.0,Male,5243.0,Single,0.0,Bachelor's,,4.795790948402264,Suburban,Premium,0.0,18.0,496.0,2.0,2020-06-23 15:21:39.223390,Average,No,Rarely,Condo,3340.0
723528,39.0,Female,100853.0,Married,4.0,Bachelor's,Self-Employed,28.537619343248146,Urban,Premium,4.0,9.0,353.0,2.0,2024-08-09 15:21:39.134960,Average,No,Weekly,Apartment,24.0
299082,46.0,Male,948.0,Single,2.0,Master's,Unemployed,18.154748289923468,Urban,Basic,1.0,9.0,442.0,1.0,2021-06-17 15:21:39.134960,Poor,Yes,Weekly,Apartment,1001.0
818363,,Female,5179.0,Divorced,1.0,High School,Unemployed,47.26104011659135,Rural,Comprehensive,1.0,4.0,532.0,3.0,2021-12-04 15:21:39.132191,Good,Yes,Daily,House,616.0
1183601,53.0,Female,61479.0,Single,4.0,Master's,Employed,43.93907543212652,Urban,Comprehensive,,4.0,743.0,6.0,2023-06-28 15:21:39.222387,Poor,No,Rarely,Condo,53.0
218467,51.0,Female,30444.0,Divorced,,PhD,Unemployed,18.093533081126097,Rural,Comprehensive,,18.0,573.0,4.0,2022-09-11 15:21:39.134960,Average,No,Daily,House,1506.0
269475,57.0,Male,91704.0,Married,0.0,PhD,,26.08233072826585,Rural,Comprehensive,0.0,8.0,409.0,3.0,2020-12-25 15:21:39.247098,Good,No,Monthly,House,926.0
91007,45.0,Female,6079.0,Divorced,0.0,High School,Self-Employed,30.94833962901961,Urban,Premium,1.0,10.0,781.0,2.0,2024-03-24 15:21:39.155231,Good,No,Daily,Condo,587.0
1070267,63.0,Female,3466.0,Married,2.0,PhD,Unemployed,17.68230417347067,Urban,Comprehensive,2.0,13.0,635.0,5.0,2022-10-10 15:21:39.122134,Poor,Yes,Monthly,Apartment,1072.0
210546,41.0,Male,8881.0,Divorced,0.0,PhD,Self-Employed,20.85989390403406,Suburban,Basic,1.0,12.0,,2.0,2022-11-20 15:21:39.180553,Average,No,Weekly,Apartment,462.0
1156858,19.0,Female,1510.0,Single,,PhD,,16.548908350807892,Urban,Basic,,10.0,490.0,5.0,2019-11-12 15:21:39.261856,Average,Yes,Weekly,Condo,893.0
907531,52.0,Male,710.0,Single,1.0,Master's,Self-Employed,,Rural,Comprehensive,,10.0,681.0,3.0,2019-10-09 15:21:39.237118,Average,No,Monthly,Condo,1042.0
872235,47.0,Male,26142.0,Divorced,4.0,High School,Self-Employed,49.958401335661776,Suburban,Comprehensive,1.0,10.0,,6.0,2022-12-17 15:21:39.198406,Poor,No,Weekly,Condo,1442.0
1199825,40.0,Female,3067.0,Married,3.0,PhD,Employed,,Urban,Comprehensive,1.0,3.0,682.0,1.0,2023-05-14 15:21:39.124659,Average,Yes,Weekly,Condo,1572.0
211518,21.0,Male,35562.0,Single,3.0,High School,Employed,18.919512786004475,Rural,Comprehensive,0.0,15.0,690.0,3.0,2023-06-26 15:21:39.102694,Average,No,Rarely,Apartment,1469.0
975449,,Male,17054.0,Married,3.0,PhD,Self-Employed,15.806538596768496,Urban,Basic,1.0,3.0,626.0,4.0,2021-03-22 15:21:39.092127,Average,Yes,Monthly,Apartment,1042.0
770945,31.0,Female,4522.0,Divorced,1.0,High School,,,Urban,Comprehensive,,16.0,690.0,9.0,2020-07-18 15:21:39.188220,Average,No,Daily,House,671.0
174452,37.0,Male,5295.0,Married,3.0,Master's,Unemployed,5.929544340413538,Rural,Comprehensive,1.0,19.0,590.0,8.0,2019-09-08 15:21:39.194829,Poor,Yes,Rarely,House,964.0
1162500,62.0,Female,8881.0,Divorced,4.0,Bachelor's,Unemployed,13.625613899038225,Urban,Basic,1.0,18.0,434.0,1.0,2021-01-21 15:21:39.092127,Poor,Yes,Weekly,Apartment,397.0
705046,29.0,Male,29152.0,Married,3.0,Bachelor's,Employed,28.23017938346132,Suburban,Comprehensive,,6.0,759.0,9.0,2023-12-23 15:21:39.253660,Good,Yes,Rarely,Apartment,793.0
995483,42.0,Female,19033.0,Divorced,4.0,Master's,Unemployed,16.814904440008775,Suburban,Premium,,8.0,763.0,4.0,2021-09-09 15:21:39.168099,Poor,Yes,Monthly,Condo,1229.0
1079752,61.0,Female,,Divorced,3.0,PhD,,24.9371636249465,Urban,Premium,1.0,11.0,439.0,4.0,2019-12-02 15:21:39.253660,Good,No,Rarely,Condo,1398.0
1170098,29.0,Female,6960.0,Single,1.0,Master's,Self-Employed,23.5168688223976,Suburban,Premium,1.0,16.0,825.0,5.0,2022-07-30 15:21:39.134960,Average,Yes,Daily,Condo,1356.0
1149580,61.0,Female,30658.0,Divorced,2.0,High School,Employed,32.823857298291045,Rural,Premium,1.0,9.0,821.0,6.0,2024-05-14 15:21:39.109552,Average,Yes,Monthly,Apartment,2501.0
568518,25.0,Female,16245.0,Divorced,0.0,PhD,Self-Employed,16.879086181220238,Urban,Comprehensive,,12.0,462.0,1.0,2020-04-21 15:21:39.231531,Average,Yes,Monthly,Condo,2534.0
306923,41.0,Female,34506.0,Single,,Bachelor's,Unemployed,9.99507530425386,Rural,Comprehensive,,9.0,562.0,7.0,2022-11-01 15:21:39.082499,Average,No,Rarely,Condo,381.0
1178109,28.0,Female,15036.0,Single,4.0,PhD,,14.603741534809856,Urban,Basic,2.0,1.0,607.0,4.0,2023-04-06 15:21:39.110557,Average,No,Rarely,Condo,1654.0
653892,24.0,Female,3646.0,Divorced,4.0,Master's,Self-Employed,,Urban,Comprehensive,,17.0,492.0,4.0,2023-10-16 15:21:39.085129,Poor,No,Rarely,House,817.0
395591,50.0,Male,101932.0,Single,3.0,PhD,,5.519703002411741,Urban,Basic,4.0,15.0,711.0,1.0,2020-05-02 15:21:39.206847,Good,Yes,Rarely,House,2362.0
695847,60.0,Male,2683.0,Single,1.0,Bachelor's,,,Rural,Premium,1.0,18.0,662.0,5.0,2022-12-17 15:21:39.196387,Poor,No,Rarely,Condo,1111.0
326485,40.0,Female,,Divorced,4.0,High School,Employed,38.8827435570194,Rural,Premium,,17.0,706.0,6.0,2023-12-10 15:21:39.226954,Good,Yes,Weekly,House,188.0
643093,35.0,Female,14862.0,Married,2.0,High School,,13.64325187199019,Urban,Premium,1.0,10.0,742.0,8.0,2021-05-25 15:21:39.095696,Poor,Yes,Rarely,House,1233.0
543574,42.0,Female,2059.0,Married,3.0,Master's,,31.81217615057563,Urban,Basic,,11.0,311.0,1.0,2021-04-30 15:21:39.187211,Good,Yes,Rarely,House,997.0
1014363,54.0,Male,18300.0,Single,3.0,Bachelor's,,15.036212027359928,Suburban,Comprehensive,1.0,13.0,731.0,4.0,2020-07-31 15:21:39.122134,Average,No,Rarely,Apartment,713.0
254081,47.0,Female,44635.0,Married,2.0,Bachelor's,Employed,13.826446374668548,Urban,Comprehensive,0.0,4.0,751.0,6.0,2024-01-23 15:21:39.252145,Average,Yes,Weekly,Apartment,782.0
331312,27.0,Male,34708.0,Divorced,,High School,Self-Employed,23.8659617308497,Suburban,Comprehensive,1.0,0.0,677.0,9.0,2023-05-02 15:21:39.237118,,No,Daily,House,542.0
438537,42.0,Female,30450.0,Married,0.0,Bachelor's,,37.95706638129814,Suburban,Premium,0.0,0.0,468.0,9.0,2023-10-01 15:21:39.237118,Good,No,Daily,Condo,2288.0
66639,49.0,Male,6839.0,Divorced,2.0,Master's,Employed,29.354843709811647,Suburban,Premium,1.0,14.0,617.0,7.0,2022-08-20 15:21:39.181605,Average,No,Monthly,Condo,1373.0
428656,21.0,Female,49777.0,Single,1.0,Bachelor's,Self-Employed,24.67852286378662,Suburban,Comprehensive,0.0,4.0,817.0,9.0,2021-02-22 15:21:39.126661,Good,Yes,Rarely,Condo,357.0
164813,61.0,Male,25573.0,Divorced,4.0,Bachelor's,,4.824132844264501,Suburban,Premium,1.0,13.0,,6.0,2020-05-16 15:21:39.134960,Average,Yes,Weekly,House,563.0
564786,51.0,Female,10099.0,Divorced,2.0,Master's,Employed,21.098319916090112,Suburban,Basic,3.0,3.0,656.0,5.0,2021-10-29 15:21:39.220389,Good,Yes,Monthly,Apartment,189.0
1030790,44.0,Female,30247.0,Single,4.0,High School,Employed,10.71115260382173,Rural,Basic,1.0,19.0,556.0,4.0,2020-10-28 15:21:39.251142,Average,Yes,Rarely,Condo,639.0
63391,23.0,Male,69524.0,Married,2.0,Master's,,26.86816789970843,Suburban,Comprehensive,0.0,10.0,487.0,1.0,2020-08-14 15:21:39.155231,Good,No,Weekly,House,2086.0
40597,44.0,Female,4868.0,Married,2.0,Master's,Employed,11.717659801772122,Urban,Comprehensive,2.0,10.0,,2.0,2022-02-21 15:21:39.147735,Average,No,Weekly,Condo,1079.0
408325,61.0,Female,44705.0,Married,3.0,High School,Unemployed,47.31187844134568,Urban,Basic,0.0,18.0,,5.0,2022-03-27 15:21:39.088124,Poor,No,Daily,Condo,90.0
770531,64.0,Male,15679.0,Married,4.0,Bachelor's,Employed,37.67009596422678,Urban,Premium,,16.0,620.0,7.0,2019-10-28 15:21:39.224915,,No,Rarely,Apartment,1632.0
148771,39.0,Female,2591.0,Single,,Bachelor's,,23.120898071370902,Suburban,Comprehensive,,11.0,394.0,3.0,2024-07-20 15:21:39.199447,Average,No,Rarely,House,1016.0
152384,57.0,Male,54356.0,Single,1.0,PhD,Unemployed,7.942015169853706,Urban,Premium,2.0,19.0,,5.0,2021-12-18 15:21:39.092127,Poor,No,Weekly,Apartment,2915.0
451110,42.0,Female,43729.0,Divorced,3.0,PhD,Unemployed,23.71927524184464,Suburban,Basic,0.0,7.0,,6.0,2024-03-09 15:21:39.102694,Average,Yes,Monthly,House,1793.0
