predicted_premium,actual_premium,decision,premium_tier
1188.0788239661983,767.0,STANDARD,STANDARD
1380.697154266685,2323.0,ELEVATED,ELEVATED
1059.9740564695373,617.0,STANDARD,STANDARD
1032.5895012015694,1091.0,STANDARD,STANDARD
938.9438749758771,38.0,STANDARD,STANDARD
1129.8419335956069,918.0,STANDARD,STANDARD
1378.8645149479698,565.0,ELEVATED,ELEVATED
1035.7231841153268,807.0,STANDARD,STANDARD
1164.6835808492278,522.0,STANDARD,STANDARD
1120.579050558359,2770.0,STANDARD,STANDARD
1052.3299540098235,870.0,STANDARD,STANDARD
1161.7144210165004,36.0,STANDARD,STANDARD
1035.3212215027593,94.0,STANDARD,STANDARD
1100.456573701451,307.0,STANDARD,STANDARD
1122.2886177495388,2357.0,STANDARD,STANDARD
711.628560317843,158.0,STANDARD,STANDARD
1250.3336390512497,642.0,ELEVATED,ELEVATED
1031.9189934297146,704.0,STANDARD,STANDARD
1073.8738544684188,931.0,STANDARD,STANDARD
1138.3000236886535,1614.0,REVIEW_CREDIT_VEHICLE,REVIEW
1053.285621028429,48.0,STANDARD,STANDARD
1033.7189357296288,462.0,STANDARD,STANDARD
1094.8445462888742,1740.0,STANDARD,STANDARD
1197.0289444780071,1069.0,REVIEW_SENIOR_SMOKER,REVIEW
1051.5627185817416,621.0,STANDARD,STANDARD
1033.7023086961026,123.0,STANDARD,STANDARD
1136.5403592008495,237.0,STANDARD,STANDARD
1054.4413770703443,893.0,STANDARD,STANDARD
1053.062891071939,1283.0,STANDARD,STANDARD
1200.3998776177655,657.0,ELEVATED,ELEVATED
1396.3504467018367,112.0,ELEVATED,ELEVATED
1048.7874883858233,703.0,STANDARD,STANDARD
1429.3286802829161,2852.0,ELEVATED,ELEVATED
1060.4758610233089,616.0,STANDARD,STANDARD
1126.9959907123057,1194.0,HIGH_RISK_RULE,REVIEW
1453.1380186733682,70.0,ELEVATED,ELEVATED
1051.4495411975781,812.0,STANDARD,STANDARD
1060.5871538780423,1319.0,STANDARD,STANDARD
1051.2194221389718,742.0,STANDARD,STANDARD
1051.8040397366115,661.0,STANDARD,STANDARD
1147.1652177737392,27.0,REVIEW_CREDIT_VEHICLE,REVIEW
1055.796591312264,689.0,STANDARD,STANDARD
1185.05947953356,3053.0,STANDARD,STANDARD
1456.3095170407476,798.0,REVIEW_SENIOR_SMOKER,REVIEW
1049.921713871191,1263.0,STANDARD,STANDARD
1017.719570038352,211.0,STANDARD,STANDARD
1057.9628432653801,905.0,STANDARD,STANDARD
1056.8283564969688,751.0,STANDARD,STANDARD
1031.6644343816502,654.0,STANDARD,STANDARD
1056.5628457267144,269.0,STANDARD,STANDARD
1479.825304655004,2373.0,ELEVATED,ELEVATED
1080.6753545606798,1091.0,STANDARD,STANDARD
1195.026124601485,881.0,STANDARD,STANDARD
1034.5359079346097,1795.0,STANDARD,STANDARD
1039.518156058069,1686.0,STANDARD,STANDARD
1050.9328106695289,1301.0,STANDARD,STANDARD
1057.1363448174968,1592.0,STANDARD,STANDARD
1037.5398310570656,35.0,STANDARD,STANDARD
1137.8498751031498,459.0,STANDARD,STANDARD
1062.273810302169,310.0,STANDARD,STANDARD
1054.8798207398136,959.0,STANDARD,STANDARD
1139.3852610089355,1290.0,STANDARD,STANDARD
1158.1215170364749,309.0,REVIEW_CREDIT_VEHICLE,REVIEW
1136.9920387004793,549.0,STANDARD,STANDARD
904.7635841005421,277.0,STANDARD,STANDARD
1050.072657154783,3167.0,STANDARD,STANDARD
1462.164041161075,2639.0,ELEVATED,ELEVATED
1050.2158125482665,1322.0,STANDARD,STANDARD
1405.3483572731368,2796.0,ELEVATED,ELEVATED
1129.7629794986046,1549.0,REVIEW_CREDIT_VEHICLE,REVIEW
1058.5170155071553,826.0,STANDARD,STANDARD
1119.394149597297,2994.0,STANDARD,STANDARD
1032.8778652810338,1168.0,STANDARD,STANDARD
1138.2114474053333,129.0,STANDARD,STANDARD
1160.537511180667,2089.0,STANDARD,STANDARD
1034.2856088874764,464.0,STANDARD,STANDARD
1180.1438483641018,1836.0,STANDARD,STANDARD
1031.875603581864,1246.0,STANDARD,STANDARD
1436.6544463340447,2738.0,ELEVATED,ELEVATED
1440.9258951431807,406.0,ELEVATED,ELEVATED
1140.6800351219586,24.0,STANDARD,STANDARD
1039.4003083008884,2342.0,STANDARD,STANDARD
1200.2730519753725,735.0,REVIEW_CREDIT_VEHICLE,REVIEW
1416.3585414390056,352.0,ELEVATED,ELEVATED
1135.976782625256,3323.0,REVIEW_CREDIT_VEHICLE,REVIEW
1048.6925093421446,1812.0,STANDARD,STANDARD
1150.2876662910378,1113.0,STANDARD,STANDARD
739.530146013107,259.0,STANDARD,STANDARD
1035.2202163089535,956.0,STANDARD,STANDARD
1137.9689119609009,208.0,STANDARD,STANDARD
1100.9456276163535,1673.0,HIGH_RISK_RULE,REVIEW
1036.7562783163694,1765.0,STANDARD,STANDARD
1220.5527319776133,563.0,ELEVATED,ELEVATED
1399.479238177652,1287.0,ELEVATED,ELEVATED
738.0286767155486,977.0,STANDARD,STANDARD
1484.127846424756,1110.0,ELEVATED,ELEVATED
1052.6397314800402,447.0,STANDARD,STANDARD
1141.728425706832,1739.0,REVIEW_CREDIT_VEHICLE,REVIEW
1052.21940821446,1067.0,STANDARD,STANDARD
1059.2098470819967,704.0,REVIEW_SENIOR_SMOKER,REVIEW
1138.9982085456998,803.0,STANDARD,STANDARD
1140.7309092020557,2068.0,STANDARD,STANDARD
1147.9939090654755,1360.0,STANDARD,STANDARD
1050.470371596331,508.0,STANDARD,STANDARD
1142.6161980770264,1019.0,STANDARD,STANDARD
1135.2599640234396,2535.0,STANDARD,STANDARD
1031.6644343816502,1043.0,STANDARD,STANDARD
1125.0064863960874,1181.0,STANDARD,STANDARD
1225.132190364355,783.0,ELEVATED,ELEVATED
1251.7342729937586,2094.0,ELEVATED,ELEVATED
1056.1627136230513,1215.0,STANDARD,STANDARD
1053.9850060559238,4569.0,STANDARD,STANDARD
1186.974373881761,587.0,STANDARD,STANDARD
1055.0605964031,447.0,STANDARD,STANDARD
1036.6462507702215,107.0,STANDARD,STANDARD
1083.4199566097227,1841.0,STANDARD,STANDARD
1052.8868908444442,1318.0,STANDARD,STANDARD
1050.2114010822424,1216.0,STANDARD,STANDARD
1045.54629318936,1180.0,STANDARD,STANDARD
1056.7206946157646,835.0,STANDARD,STANDARD
1080.7059928421195,882.0,STANDARD,STANDARD
1231.1834120744516,893.0,REVIEW_SENIOR_SMOKER,REVIEW
1057.4045190095728,471.0,STANDARD,STANDARD
1116.2306083129788,2151.0,STANDARD,STANDARD
1165.029033806736,1465.0,HIGH_RISK_RULE,REVIEW
1060.7063336959284,1607.0,STANDARD,STANDARD
1167.716836615465,101.0,REVIEW_CREDIT_VEHICLE,REVIEW
1196.9471076669213,2320.0,REVIEW_CREDIT_VEHICLE,REVIEW
1052.425172283315,538.0,STANDARD,STANDARD
1125.1334763657205,1249.0,STANDARD,STANDARD
1135.047679419177,1546.0,STANDARD,STANDARD
1129.0218036898368,1257.0,HIGH_RISK_RULE,REVIEW
1050.1870627741002,20.0,STANDARD,STANDARD
1033.466875855042,651.0,STANDARD,STANDARD
1170.7167352742388,2674.0,STANDARD,STANDARD
1054.4744049913172,308.0,STANDARD,STANDARD
1054.8006234387167,176.0,STANDARD,STANDARD
1052.9580506662012,371.0,STANDARD,STANDARD
1466.062311802584,3294.0,ELEVATED,ELEVATED
1049.0175870040903,837.0,STANDARD,STANDARD
1214.3978266100555,1734.0,REVIEW_CREDIT_VEHICLE,REVIEW
1033.5398437645808,767.0,STANDARD,STANDARD
1102.1216775231242,805.0,REVIEW_CREDIT_VEHICLE,REVIEW
1045.6654845853705,1096.0,STANDARD,STANDARD
1113.7748235635079,466.0,STANDARD,STANDARD
1049.921713871191,216.0,STANDARD,STANDARD
787.9838444330609,150.0,STANDARD,STANDARD
1013.2477474683785,2167.0,STANDARD,STANDARD
1123.6188908921692,513.0,HIGH_RISK_RULE,REVIEW
1062.5288995316598,568.0,STANDARD,STANDARD
1104.522216356698,742.0,STANDARD,STANDARD
1165.2169893575717,49.0,STANDARD,STANDARD
1147.6927622432702,1019.0,STANDARD,STANDARD
1029.6293534940792,369.0,STANDARD,STANDARD
1058.7485281031766,463.0,STANDARD,STANDARD
1050.043515657964,1116.0,STANDARD,STANDARD
1590.0723944879032,379.0,REVIEW_SENIOR_SMOKER,REVIEW
1139.0937229933788,1004.0,STANDARD,STANDARD
1426.5185250679697,102.0,ELEVATED,ELEVATED
738.0286767155486,237.0,STANDARD,STANDARD
1051.2083114161221,632.0,STANDARD,STANDARD
1215.0463052790838,696.0,REVIEW_SENIOR_SMOKER,REVIEW
1044.8239467454023,2260.0,STANDARD,STANDARD
1144.352069872744,49.0,STANDARD,STANDARD
1029.131636962104,712.0,STANDARD,STANDARD
1137.568404910418,648.0,STANDARD,STANDARD
1045.5481754994612,85.0,STANDARD,STANDARD
1038.1801355692235,643.0,STANDARD,STANDARD
1495.2825350434298,910.0,ELEVATED,ELEVATED
753.6813035245546,2064.0,STANDARD,STANDARD
1033.436007414703,361.0,STANDARD,STANDARD
1136.9884263072877,294.0,REVIEW_CREDIT_VEHICLE,REVIEW
1035.2713398306767,1180.0,STANDARD,STANDARD
1012.1995512793305,4967.0,STANDARD,STANDARD
1128.8475612893108,655.0,STANDARD,STANDARD
1137.6284700217611,877.0,STANDARD,STANDARD
1146.4250628926209,1150.0,STANDARD,STANDARD
1148.6232692490357,581.0,STANDARD,STANDARD
1140.3415144089267,1034.0,REVIEW_CREDIT_VEHICLE,REVIEW
736.6149452491713,110.0,STANDARD,STANDARD
1332.1984286919903,370.0,ELEVATED,ELEVATED
1052.7310928223026,860.0,STANDARD,STANDARD
1051.6033184413836,636.0,STANDARD,STANDARD
1089.629892840075,615.0,STANDARD,STANDARD
1137.835181577544,1466.0,STANDARD,STANDARD
1054.084904541047,349.0,STANDARD,STANDARD
1138.9592305720807,2780.0,REVIEW_SENIOR_SMOKER,REVIEW
1047.1133352735114,803.0,STANDARD,STANDARD
1156.7308434811937,830.0,REVIEW_CREDIT_VEHICLE,REVIEW
1063.9188997901235,2844.0,STANDARD,STANDARD
1053.0761641519418,779.0,STANDARD,STANDARD
1092.4235250068382,537.0,REVIEW_SENIOR_SMOKER,REVIEW
1152.4125228471428,755.0,HIGH_RISK_RULE,REVIEW
1256.5584936833159,1211.0,REVIEW_CREDIT_VEHICLE,REVIEW
1043.3312108030623,1034.0,STANDARD,STANDARD
1112.867988109242,115.0,REVIEW_SENIOR_SMOKER,REVIEW
1155.3173227529614,86.0,STANDARD,STANDARD
1165.535357488107,2789.0,REVIEW_CREDIT_VEHICLE,REVIEW
1186.0766036099458,3568.0,STANDARD,STANDARD
1160.7868279667416,23.0,STANDARD,STANDARD
1045.337570559206,646.0,STANDARD,STANDARD
1106.5058699600622,963.0,REVIEW_CREDIT_VEHICLE,REVIEW
1048.9705981382308,1331.0,STANDARD,STANDARD
1004.8953554600765,1741.0,REVIEW_SENIOR_SMOKER,REVIEW
1038.196592363196,687.0,STANDARD,STANDARD
1042.5411722694664,441.0,STANDARD,STANDARD
1042.607223327008,1210.0,STANDARD,STANDARD
1068.0502212732,1436.0,STANDARD,STANDARD
1128.459550682071,646.0,STANDARD,STANDARD
1050.927414326694,1273.0,STANDARD,STANDARD
1035.9556297585434,1094.0,STANDARD,STANDARD
1508.5278017046837,4033.0,ELEVATED,ELEVATED
773.463636650948,179.0,STANDARD,STANDARD
1060.2171938931272,1044.0,STANDARD,STANDARD
1070.8933944761459,749.0,STANDARD,STANDARD
1051.8144429344875,695.0,STANDARD,STANDARD
1041.6385859796208,1597.0,STANDARD,STANDARD
1031.9189934297146,724.0,STANDARD,STANDARD
1053.0004617816785,434.0,STANDARD,STANDARD
1166.3969837021787,150.0,STANDARD,STANDARD
1032.334942153505,461.0,STANDARD,STANDARD
937.7963785732888,94.0,STANDARD,STANDARD
1069.0311733495846,827.0,STANDARD,STANDARD
736.4171747003668,166.0,STANDARD,STANDARD
1032.334942153505,712.0,STANDARD,STANDARD
1031.3076329550197,765.0,STANDARD,STANDARD
1143.5734666876292,319.0,STANDARD,STANDARD
1075.102168781664,1714.0,STANDARD,STANDARD
1037.8793926356543,878.0,STANDARD,STANDARD
1037.5819459409706,657.0,REVIEW_CREDIT_VEHICLE,REVIEW
1051.4011895506378,2093.0,STANDARD,STANDARD
1200.774672173507,38.0,ELEVATED,ELEVATED
1031.9189934297146,918.0,STANDARD,STANDARD
1058.326872428237,635.0,STANDARD,STANDARD
1275.8631624549153,2436.0,ELEVATED,ELEVATED
1060.834420365343,1331.0,STANDARD,STANDARD
1052.483608591074,948.0,STANDARD,STANDARD
1057.135297624338,519.0,STANDARD,STANDARD
729.7512615037621,2349.0,STANDARD,STANDARD
1170.5650483303948,1883.0,REVIEW_CREDIT_VEHICLE,REVIEW
1103.599513037156,38.0,STANDARD,STANDARD
1084.476794450696,536.0,HIGH_RISK_RULE,REVIEW
1063.410294602487,1179.0,STANDARD,STANDARD
1134.2923495112227,113.0,STANDARD,STANDARD
1153.2367877759941,1091.0,REVIEW_CREDIT_VEHICLE,REVIEW
1166.0024802806997,2842.0,STANDARD,STANDARD
1314.3183628947759,831.0,ELEVATED,ELEVATED
1471.7298835862823,533.0,ELEVATED,ELEVATED
1144.1605022119384,814.0,STANDARD,STANDARD
1153.530256831573,443.0,STANDARD,STANDARD
907.2342535294351,166.0,STANDARD,STANDARD
1056.807688110602,1505.0,STANDARD,STANDARD
1400.7925693422314,2355.0,ELEVATED,ELEVATED
1273.9291160741775,1003.0,ELEVATED,ELEVATED
1367.6817888527817,966.0,HIGH_RISK_RULE,REVIEW
1053.9358798692297,1481.0,STANDARD,STANDARD
1030.4148472087152,1053.0,STANDARD,STANDARD
1422.2596554061138,119.0,ELEVATED,ELEVATED
1185.7464730432775,3733.0,STANDARD,STANDARD
1161.874344548029,1392.0,STANDARD,STANDARD
1056.8283564969688,1730.0,STANDARD,STANDARD
1188.5037034128009,2327.0,STANDARD,STANDARD
1043.7600009778396,638.0,STANDARD,STANDARD
736.818752073903,125.0,STANDARD,STANDARD
730.8824917457357,44.0,STANDARD,STANDARD
1156.7970732763465,487.0,STANDARD,STANDARD
1034.205944014612,653.0,STANDARD,STANDARD
1043.558117474454,1266.0,STANDARD,STANDARD
1428.0605853715606,2096.0,ELEVATED,ELEVATED
1213.305680440551,3875.0,REVIEW_CREDIT_VEHICLE,REVIEW
1141.2203061740165,198.0,STANDARD,STANDARD
1136.587294851274,2488.0,STANDARD,STANDARD
1340.5087163365245,2120.0,ELEVATED,ELEVATED
1057.2200039001011,584.0,STANDARD,STANDARD
1017.9954333839388,1053.0,STANDARD,STANDARD
1106.2241293061747,38.0,HIGH_RISK_RULE,REVIEW
1031.5660907931533,812.0,STANDARD,STANDARD
1100.073346893352,1101.0,STANDARD,STANDARD
1013.6284145387515,1022.0,STANDARD,STANDARD
1343.0000559310593,2094.0,ELEVATED,ELEVATED
1037.222006564648,2098.0,STANDARD,STANDARD
1041.557574755035,557.0,STANDARD,STANDARD
1039.3134904297015,25.0,STANDARD,STANDARD
1051.2548495344804,583.0,STANDARD,STANDARD
738.4135965869671,3153.0,STANDARD,STANDARD
1072.518378861303,3084.0,REVIEW_SENIOR_SMOKER,REVIEW
1052.6864819771597,144.0,STANDARD,STANDARD
1030.6024225928818,1676.0,STANDARD,STANDARD
1059.3859588142989,713.0,STANDARD,STANDARD
1032.700046996933,126.0,STANDARD,STANDARD
1137.1478121840182,604.0,STANDARD,STANDARD
1139.04513261947,882.0,STANDARD,STANDARD
1132.7737492461144,469.0,STANDARD,STANDARD
1152.0375935932718,1592.0,STANDARD,STANDARD
737.2123084312072,51.0,STANDARD,STANDARD
1136.6968917985457,2169.0,STANDARD,STANDARD
1055.2512621343233,1139.0,STANDARD,STANDARD
1054.4815560053473,845.0,STANDARD,STANDARD
1132.225771915067,1172.0,STANDARD,STANDARD
907.90476130129,258.0,STANDARD,STANDARD
1033.3705547687878,1806.0,REVIEW_SENIOR_SMOKER,REVIEW
1055.7341620220034,597.0,STANDARD,STANDARD
1168.9152960324973,486.0,STANDARD,STANDARD
1057.3710954861047,565.0,STANDARD,STANDARD
1131.0156332379745,1479.0,REVIEW_CREDIT_VEHICLE,REVIEW
1137.3550110391395,997.0,HIGH_RISK_RULE,REVIEW
1058.3597728299442,748.0,STANDARD,STANDARD
736.1992813899845,127.0,STANDARD,STANDARD
1129.5787688197809,2931.0,STANDARD,STANDARD
1395.2769486237762,831.0,ELEVATED,ELEVATED
1045.3993118023905,957.0,STANDARD,STANDARD
1550.712785207228,1945.0,ELEVATED,ELEVATED
1054.722549727004,28.0,STANDARD,STANDARD
1057.1461809893865,556.0,REVIEW_SENIOR_SMOKER,REVIEW
1046.1798205244897,1553.0,STANDARD,STANDARD
1027.5914791796265,1927.0,STANDARD,STANDARD
1037.088848729192,1154.0,STANDARD,STANDARD
1136.188091334881,1212.0,STANDARD,STANDARD
936.4155962063217,85.0,STANDARD,STANDARD
1051.4904088760134,541.0,STANDARD,STANDARD
1091.7615631967026,1747.0,REVIEW_CREDIT_VEHICLE,REVIEW
1039.4073376521387,3718.0,STANDARD,STANDARD
1059.520308483294,4028.0,STANDARD,STANDARD
1037.0715275168805,28.0,STANDARD,STANDARD
1143.0063670207517,1878.0,STANDARD,STANDARD
1029.7519411161434,714.0,STANDARD,STANDARD
1050.1969149610254,578.0,STANDARD,STANDARD
667.132356826668,284.0,STANDARD,STANDARD
1046.9601368307435,1137.0,STANDARD,STANDARD
1035.5006650179814,816.0,REVIEW_SENIOR_SMOKER,REVIEW
1145.208831041679,462.0,STANDARD,STANDARD
1237.2448935316088,1521.0,ELEVATED,ELEVATED
1056.427281713941,1223.0,STANDARD,STANDARD
1053.2123034580636,3039.0,STANDARD,STANDARD
1146.2620019790436,3318.0,STANDARD,STANDARD
1199.8910937749997,1163.0,STANDARD,STANDARD
1368.6701654586693,214.0,REVIEW_SENIOR_SMOKER,REVIEW
1368.4279531567054,662.0,ELEVATED,ELEVATED
1053.4502998792354,782.0,STANDARD,STANDARD
1137.256617147908,4644.0,STANDARD,STANDARD
1511.2700751751515,2471.0,ELEVATED,ELEVATED
725.831223794135,152.0,STANDARD,STANDARD
1104.999159370448,590.0,STANDARD,STANDARD
1032.334942153505,25.0,STANDARD,STANDARD
1044.6307482988645,638.0,STANDARD,STANDARD
1422.045145829554,68.0,HIGH_RISK_RULE,REVIEW
1067.9991272825578,1534.0,STANDARD,STANDARD
1118.0974197457967,438.0,STANDARD,STANDARD
1051.6129558885614,842.0,STANDARD,STANDARD
1072.6078435742086,563.0,STANDARD,STANDARD
1052.8027031222507,943.0,REVIEW_SENIOR_SMOKER,REVIEW
1135.0920746799288,29.0,STANDARD,STANDARD
1052.0044572538627,1714.0,STANDARD,STANDARD
1131.2283393136136,1592.0,REVIEW_CREDIT_VEHICLE,REVIEW
1327.2905060253695,27.0,ELEVATED,ELEVATED
1117.6236367624372,2140.0,STANDARD,STANDARD
1041.100704202545,881.0,STANDARD,STANDARD
1053.4806159594723,427.0,STANDARD,STANDARD
1137.952483021902,239.0,STANDARD,STANDARD
1156.612002114748,2422.0,STANDARD,STANDARD
1281.6762576763513,3847.0,ELEVATED,ELEVATED
1051.2083114161221,667.0,STANDARD,STANDARD
1035.3212215027593,668.0,STANDARD,STANDARD
1038.6202722546698,1361.0,STANDARD,STANDARD
1468.6996886448312,378.0,ELEVATED,ELEVATED
1139.6568048859656,998.0,STANDARD,STANDARD
1067.5626258975271,1075.0,STANDARD,STANDARD
1064.2650056511143,1052.0,REVIEW_SENIOR_SMOKER,REVIEW
1115.9181759752341,1000.0,STANDARD,STANDARD
1480.3980058840098,705.0,ELEVATED,ELEVATED
1037.7918909316525,442.0,STANDARD,STANDARD
1386.513890164257,1878.0,ELEVATED,ELEVATED
1042.5410097086283,78.0,STANDARD,STANDARD
1110.344590227963,715.0,STANDARD,STANDARD
1144.2060900455808,573.0,STANDARD,STANDARD
1056.5183134973631,1217.0,STANDARD,STANDARD
1091.5195018299428,961.0,STANDARD,STANDARD
1045.6861354058854,1281.0,STANDARD,STANDARD
1177.5772254812687,1536.0,STANDARD,STANDARD
1049.7038681796785,647.0,STANDARD,STANDARD
1183.9201287187882,143.0,STANDARD,STANDARD
1054.9717616408498,1510.0,STANDARD,STANDARD
1136.0549206557166,472.0,STANDARD,STANDARD
1052.8017601523604,1131.0,STANDARD,STANDARD
1229.2190346861073,4346.0,REVIEW_CREDIT_VEHICLE,REVIEW
1122.0349466470725,729.0,HIGH_RISK_RULE,REVIEW
753.4407381865614,112.0,STANDARD,STANDARD
1049.1189217403673,394.0,STANDARD,STANDARD
1121.7363210068681,1002.0,STANDARD,STANDARD
1158.5956913044336,1718.0,STANDARD,STANDARD
1338.3724553534057,2072.0,ELEVATED,ELEVATED
1054.616025088262,3098.0,STANDARD,STANDARD
1139.2274512104489,788.0,REVIEW_CREDIT_VEHICLE,REVIEW
1495.5644136643082,286.0,ELEVATED,ELEVATED
1050.9328106695289,577.0,STANDARD,STANDARD
1158.6015076778772,1256.0,STANDARD,STANDARD
1053.187807446386,1430.0,STANDARD,STANDARD
1144.806149961041,1007.0,REVIEW_CREDIT_VEHICLE,REVIEW
1064.2111767789286,2611.0,STANDARD,STANDARD
1054.4372053384561,478.0,STANDARD,STANDARD
1038.0366775624,1871.0,STANDARD,STANDARD
1394.3709857335402,2441.0,ELEVATED,ELEVATED
1040.9864711219172,573.0,STANDARD,STANDARD
1160.7922703225986,605.0,REVIEW_CREDIT_VEHICLE,REVIEW
1456.6784100163266,2077.0,ELEVATED,ELEVATED
1219.038025128338,1840.0,ELEVATED,ELEVATED
1038.3964422237275,1046.0,STANDARD,STANDARD
1054.8307298349107,341.0,STANDARD,STANDARD
1054.3447792597674,2041.0,STANDARD,STANDARD
1134.598871913204,1197.0,REVIEW_CREDIT_VEHICLE,REVIEW
1494.19791252071,1821.0,ELEVATED,ELEVATED
1247.4327031234504,902.0,REVIEW_CREDIT_VEHICLE,REVIEW
1354.2785300899277,30.0,ELEVATED,ELEVATED
1049.9475444882298,2011.0,STANDARD,STANDARD
904.2168756389909,214.0,STANDARD,STANDARD
1135.9145620788524,715.0,STANDARD,STANDARD
1009.555459336728,676.0,STANDARD,STANDARD
1146.3799500589832,23.0,REVIEW_CREDIT_VEHICLE,REVIEW
1049.032526625118,715.0,STANDARD,STANDARD
1046.760094549613,1184.0,STANDARD,STANDARD
1142.4580677646397,728.0,STANDARD,STANDARD
1110.518842267409,20.0,STANDARD,STANDARD
1136.3097944047634,192.0,STANDARD,STANDARD
1027.1537821028155,1144.0,STANDARD,STANDARD
1240.895562483668,1759.0,ELEVATED,ELEVATED
1061.6114069537684,693.0,STANDARD,STANDARD
1057.0023797736999,1616.0,STANDARD,STANDARD
1061.4291195894552,2501.0,STANDARD,STANDARD
1070.1432350406524,654.0,STANDARD,STANDARD
1188.7707146239618,1684.0,STANDARD,STANDARD
1143.8678791945808,1052.0,STANDARD,STANDARD
1075.088393476273,901.0,STANDARD,STANDARD
1054.2582630423792,1327.0,STANDARD,STANDARD
1051.6129558885614,517.0,STANDARD,STANDARD
1135.946877140484,1204.0,HIGH_RISK_RULE,REVIEW
1188.0214744007794,528.0,STANDARD,STANDARD
1152.0487817895696,884.0,REVIEW_SENIOR_SMOKER,REVIEW
1044.2728383977926,2601.0,STANDARD,STANDARD
1102.0848716956089,1465.0,STANDARD,STANDARD
1053.5615538837937,981.0,STANDARD,STANDARD
735.1227990210501,161.0,STANDARD,STANDARD
1054.551969642306,528.0,STANDARD,STANDARD
1053.8046189109011,841.0,STANDARD,STANDARD
1039.294088368581,619.0,STANDARD,STANDARD
1038.5717953235257,1930.0,STANDARD,STANDARD
1152.0605651997669,810.0,STANDARD,STANDARD
1055.499003184815,269.0,STANDARD,STANDARD
952.0583740841647,310.0,STANDARD,STANDARD
1032.8006704017835,1639.0,STANDARD,STANDARD
1246.2960849610336,1091.0,ELEVATED,ELEVATED
1038.475596730296,1092.0,STANDARD,STANDARD
1054.427039151473,940.0,STANDARD,STANDARD
1054.3219264111865,569.0,STANDARD,STANDARD
1142.5159841536688,821.0,STANDARD,STANDARD
735.9360811716299,2080.0,STANDARD,STANDARD
1088.7539737040981,295.0,STANDARD,STANDARD
1330.4408373573494,2832.0,ELEVATED,ELEVATED
1153.1543616260567,1662.0,STANDARD,STANDARD
1032.8006704017835,1441.0,STANDARD,STANDARD
1061.2463746115873,1034.0,STANDARD,STANDARD
1027.5876762148014,781.0,REVIEW_SENIOR_SMOKER,REVIEW
1355.3468969951518,27.0,ELEVATED,ELEVATED
730.802523460977,331.0,STANDARD,STANDARD
776.4011623862351,390.0,STANDARD,STANDARD
1067.2796236068311,1421.0,STANDARD,STANDARD
1026.2522222366827,478.0,REVIEW_CREDIT_VEHICLE,REVIEW
1065.5376594002,745.0,STANDARD,STANDARD
1032.546111353719,112.0,STANDARD,STANDARD
1146.0160666574607,390.0,STANDARD,STANDARD
1373.6566452942839,669.0,ELEVATED,ELEVATED
1477.4424001660116,2561.0,ELEVATED,ELEVATED
1150.4333429276664,2658.0,STANDARD,STANDARD
1056.4065492981229,685.0,STANDARD,STANDARD
1151.7160241411061,1514.0,HIGH_RISK_RULE,REVIEW
1043.3049718875977,2448.0,STANDARD,STANDARD
1035.3212215027593,1274.0,STANDARD,STANDARD
1032.700046996933,2861.0,STANDARD,STANDARD
